"row" "col"
"1169" 63 57
"1170" 64 57
"1171" 65 57
"1172" 66 57
"1173" 67 57
"1174" 68 57
"1175" 21 58
"1176" 24 58
"1177" 25 58
"1178" 26 58
"1179" 27 58
"1180" 28 58
"1181" 29 58
"1182" 30 58
"1183" 31 58
"1184" 32 58
"1185" 33 58
"1186" 34 58
"1187" 35 58
"1188" 36 58
"1189" 37 58
"1190" 38 58
"1191" 55 58
"1192" 56 58
"1193" 57 58
"1194" 58 58
"1195" 59 58
"1196" 60 58
"1197" 61 58
"1198" 62 58
"1199" 63 58
"1200" 64 58
"1201" 65 58
"1202" 66 58
"1203" 23 59
"1204" 24 59
"1205" 25 59
"1206" 26 59
"1207" 27 59
"1208" 28 59
"1209" 29 59
"1210" 30 59
"1211" 31 59
"1212" 32 59
"1213" 33 59
"1214" 34 59
"1215" 35 59
"1216" 36 59
"1217" 37 59
"1218" 38 59
"1219" 48 59
"1220" 49 59
"1221" 55 59
"1222" 56 59
"1223" 57 59
"1224" 58 59
"1225" 59 59
"1226" 60 59
"1227" 61 59
"1228" 62 59
"1229" 63 59
"1230" 64 59
"1231" 65 59
"1232" 66 59
"1233" 21 60
"1234" 22 60
"1235" 23 60
"1236" 24 60
"1237" 25 60
"1238" 26 60
"1239" 27 60
"1240" 28 60
"1241" 29 60
"1242" 30 60
"1243" 31 60
"1244" 32 60
"1245" 33 60
"1246" 34 60
"1247" 35 60
"1248" 36 60
"1249" 37 60
"1250" 38 60
"1251" 49 60
"1252" 55 60
"1253" 56 60
"1254" 57 60
"1255" 58 60
"1256" 59 60
"1257" 60 60
"1258" 61 60
"1259" 62 60
"1260" 63 60
"1261" 64 60
"1262" 65 60
"1263" 66 60
"1264" 20 61
"1265" 21 61
"1266" 23 61
"1267" 24 61
"1268" 25 61
"1269" 26 61
"1270" 27 61
"1271" 28 61
"1272" 29 61
"1273" 30 61
"1274" 31 61
"1275" 32 61
"1276" 33 61
"1277" 34 61
"1278" 35 61
"1279" 36 61
"1280" 37 61
"1281" 38 61
"1282" 39 61
"1283" 40 61
"1284" 41 61
"1285" 55 61
"1286" 56 61
"1287" 57 61
"1288" 58 61
"1289" 59 61
"1290" 60 61
"1291" 61 61
"1292" 62 61
"1293" 63 61
"1294" 64 61
"1295" 65 61
"1296" 66 61
"1297" 19 62
"1298" 20 62
"1299" 21 62
"1300" 23 62
"1301" 24 62
"1302" 25 62
"1303" 26 62
"1304" 27 62
"1305" 28 62
"1306" 29 62
"1307" 30 62
"1308" 31 62
"1309" 32 62
"1310" 33 62
"1311" 34 62
"1312" 35 62
"1313" 36 62
"1314" 37 62
"1315" 38 62
"1316" 39 62
"1317" 40 62
"1318" 41 62
"1319" 42 62
"1320" 43 62
"1321" 56 62
